time,EVT_TYPE,sym,tradePrice
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,GCQ8,1249.7
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,PLV8,853.3
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.6,MarketPrice,SIU8,16.055
06:29.9,MarketPrice,PLV8,853.4
06:30.2,MarketPrice,GCQ8,1249.7
06:33.8,MarketPrice,GCQ8,1249.8
06:33.8,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:38.9,MarketPrice,GCQ8,1249.8
06:39.3,MarketPrice,GCQ8,1249.8
06:42.0,MarketPrice,GCQ8,1249.8
06:42.0,MarketPrice,GCQ8,1249.8
06:44.6,MarketPrice,GCQ8,1249.8
06:47.4,MarketPrice,GCQ8,1249.9
06:47.4,MarketPrice,GCQ8,1249.9
06:49.2,MarketPrice,GCQ8,1249.9
06:49.4,MarketPrice,GCQ8,1249.9
06:49.4,MarketPrice,GCQ8,1249.9
06:49.4,MarketPrice,GCQ8,1249.9
06:51.1,MarketPrice,GCQ8,1250
06:51.1,MarketPrice,GCQ8,1250
07:01.7,MarketPrice,GCQ8,1250
07:01.7,MarketPrice,GCQ8,1250
07:01.7,MarketPrice,SIU8,16.06
07:01.7,MarketPrice,SIU8,16.06
07:01.7,MarketPrice,GCQ8,1250
07:01.8,MarketPrice,GCQ8,1250.1
07:04.2,MarketPrice,GCQ8,1250.1
07:04.2,MarketPrice,GCQ8,1250.1
07:04.6,MarketPrice,PLV8,853.9
07:10.0,MarketPrice,PLV8,853.8
07:10.0,MarketPrice,GCQ8,1250.1
